Id;Imie;Nazwisko;ZgromadzonePunkty
1;Zygmunt;Gorski;86
2;Celestyna;Symanska;657
3;Szczęsny;Maciejewski;596
4;Roman;Kowalczyk;944
5;Iwo;Walczak;860
6;Natasza;Nowakowska;696
7;Wera;Borkowska;776
8;Klaudiusz;Sawicki;951
9;Malwina;Nowicka;515
10;Ruta;Kalinowska;502
11;Jurek;Pawłowski;93
12;Stefcia;Chmielewska;236
13;Malina;Nowakowska;602
14;Rafał;Woźniak;255
15;Wisław;Sawicki;978
16;Anka;Grabowska;872
17;Marian;Dudek;501
18;Krystian;Borkowski;494
19;Bożena;Szczepańska;431
20;Marzena;Borkowska;201
21;Wincenty;Adamski;65
22;Cezar;Pawłowski;754
23;Ludwika;Maciejewska;122
24;Danuta;Król;84
25;Szczeosny;Szczepański;81
26;Wisław;Sokołowski;24
27;Egidiusz;Kowalski;785
28;Andrzej;Kalinowski;963
29;Marceli;Gorski;253
30;Iwona;Kamińska;833
31;Wisław;Kalinowski;284
32;Sobiesław;Piotrowski;254
33;Cezar;Pawłowski;131
34;Cibor;Jaworski;238
35;Rościsława;Wiśniewska;173
36;Serafina;Jabłońska;672
37;Radzimierz;Zawadzki;964
38;Idzi;Jaworski;57
39;Jarogniew;Kowalski;650
40;Beatrycze;Wiśniewska;586
41;Agnieszka;Woźniak;317
42;Roman;Duda;802
43;Wiola;Kaczmarek;262
44;Karina;Duda;316
45;Mikolaj;Pawłowski;710
46;Jacek;Majewski;96
47;Dobromił;Kowalski;488
48;Krystyna;Zając;417
49;Lechosław;Kalinowski;450
50;Włodzimierz;Kaczmarek;414
51;Brygida;Woźniak;202
52;Wawrzyniec;Wysocki;719
53;Metody;Chmielewski;416
54;Krzyś;Jasiński;642
55;Ewa;Kozłowska;660
56;Małgorzata;Wojciechowska;148
57;Szczepan;Jasiński;922
58;Konstanty;Kamiński;973
59;Bartosz;Jasiński;418
60;Bolesław;Jaworski;630
61;Franciszek;Dudek;429
62;Lucyna;Sawicka;400
63;Wojciecha;Nowicka;750
